LONGITUDE,LATITUDE,DEPTH_m
-68.31729623,-38.13374272,2754
-68.32484925,-38.1466954,4105
-68.30357881,-38.14744943,2841
-68.33918234,-38.14631134,2950
-68.33327855,-38.15594556,3070
-68.34103132,-38.15985147,3083
-68.33560742,-38.16042066,3070
-68.33378181,-38.16307272,2980
-68.39258237,-38.17781133,3314
-68.4970739,-38.21948241,3360
-68.50221755,-38.22287672,3342
-68.49525383,-38.2265369,3350
-68.49402372,-38.23112106,3377
-68.50388461,-38.22895654,3350
-68.50322416,-38.23154566,3350
-68.51752417,-38.23454571,3537
-68.51412967,-38.21696862,3350
-68.50521864,-38.22122455,3345
-68.53140345,-38.2206536,3330
-68.74616877,-38.83086772,1797
-68.72981861,-38.83872294,1757
-68.71278399,-38.8401542,1765
-68.71445515,-38.83787028,1787
-68.71586706,-38.84167057,1735
-68.69596291,-38.84781612,1729
-68.65678056,-38.85094952,1773
-68.65298152,-38.85092208,1811
-68.6484193,-38.85142084,1783
-68.63513061,-38.85455372,1834
-68.62957754,-38.85284275,1933
-68.62833265,-38.85918216,1920
-68.65275496,-38.86008515,1830
-68.64919015,-38.85379148,1926
-68.72477992,-38.85329774,1948
-68.49909296,-38.20896327,3330
-68.49756979,-38.21101208,3350
-68.49573716,-38.21397252,3500
-68.53613546,-38.21645048,4009
-68.52679446,-38.2083778,3159.3
-68.52005302,-38.21590283,3300
-68.5142649,-38.21272113,4818
-68.52487112,-38.21909391,3375
-68.53523684,-38.22630229,3300
-68.52687479,-38.22559783,3330
-68.52411705,-38.22419835,3340
-68.52061047,-38.22317993,3327
-68.5424323,-38.22542744,3332
-68.56700367,-38.19976098,3435
-68.62630839,-38.23626995,3557
-68.62398177,-38.24004422,3345
-68.59767855,-38.22687023,3621
-68.38837119,-38.1354125,3140
-68.38709037,-38.13113947,3150
-68.51904241,-38.21124438,3500
-68.4920186,-38.2352648,3380
-68.34603534,-38.15725526,3100
-68.34313362,-38.1503531,2940
-68.33769408,-38.1531106,3051
-68.89556797,-37.64591803,3150
-68.98743988,-37.65348391,4455
-68.8154313,-37.60616877,2678
-68.78887624,-37.6598707,186
-68.84818652,-38.83296227,1642
-69.35100301,-37.27241739,2899
-68.42847975,-38.9156405,1850
-68.42008985,-38.91649989,2076
-69.1258314,-37.38124941,2545
-69.11125873,-37.41912922,3277
-69.11382765,-37.42303378,2759
-68.50496644,-38.21876999,3394
-68.48993325,-38.2363681,3394
-68.34502119,-38.1460411,2962
-68.26166392,-38.08617579,2385
-68.42336295,-38.82529751,2523
-68.4231529,-38.83553837,2670
-68.41929373,-38.83803815,2642
-69.83434999,-38.99179003,2155
-69.73729176,-38.98050206,1360
-69.68151945,-38.97532416,1302
-68.49421148,-38.22856004,3360
-68.86051631,-38.79407652,2764
-69.11866473,-37.48322971,3240
-68.42930868,-38.90850175,1607
-69.37653274,-39.51973409,1318
-68.50061024,-38.21724054,3342
-68.94790575,-38.99927232,1028
-68.94271974,-39.00459977,1100
-68.92525177,-38.9815379,1350
-68.92302102,-38.9796595,1354
-68.18273971,-38.90020642,2710
-68.19221644,-38.89966596,2709.5
-68.27640769,-38.92784128,2127
-68.23007636,-38.87300873,2692
-68.27829293,-38.9196644,2485
-68.27434356,-38.92164779,2882
-68.29429769,-38.92459535,2062
-68.30898344,-38.93133275,1900
-68.30335862,-38.93123719,2102
-68.29792049,-38.93359335,1900
-68.30842065,-38.92714061,2194
-68.81334554,-39.01079653,1241
-68.80919623,-39.01041657,1235
-68.44034553,-38.91573619,2000
-68.43064786,-38.91988525,2050
-68.41834449,-38.91124645,1936
-68.4051191,-38.91081894,1949
-68.39996682,-38.9127002,1904
-68.39929899,-38.91601749,2100
-68.38743279,-38.91189701,1850
-68.38279953,-38.90872483,1992
-68.36317586,-38.90258368,2255
-68.290108,-38.92048589,2032
-68.35819246,-38.93127806,1861
-68.33283912,-38.92446393,2000
-68.32774822,-38.92691645,2000
-68.38597336,-38.92742798,1850
-68.37995311,-38.92540757,2315
-68.39166838,-38.92674664,1803
-68.38676795,-38.92272946,2205
-68.38991259,-38.92407764,1899
-68.39707217,-38.92946473,1596
-68.35872442,-38.92244517,1900
-68.36508738,-38.9239341,1900
-68.3714148,-38.9262833,1904
-68.3807984,-38.92018287,2032
-68.38073056,-38.91570305,1909
-68.38753462,-38.90327502,2052
-68.36274736,-38.91898679,1903
-68.36760026,-38.92006898,1900
-68.40258063,-38.91876291,1951
-68.39787231,-38.91864833,2400
-68.489834,-38.90570462,2098
-68.41563508,-38.91898801,1801
-68.45981941,-38.91245402,2199
-68.46296259,-38.90171179,2150
-68.45744573,-38.90428803,2485
-68.41190855,-38.91058215,1950
-68.32601942,-38.92261125,1930
-68.31448076,-38.92451822,2063
-68.50064832,-38.2169026,3356
-68.40316923,-38.89684591,2065
-68.39031889,-38.84692535,2650
-68.17385961,-38.93067465,2605.5
-68.1994407,-38.90542387,2648
-68.19919164,-38.90193792,2710
