WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
13000,PEL.Nq.BMo.s-2040,BMo.s-2040,545,2360,A253,-38.2261106,-68.51946033,7,0,0,17,1,4
13001,PEL.Nq.BMo-2034,BMo-2034,552.15,3340,A253,-38.22413622,-68.50811724,4,0,0,17,1,22
13002,PEL.Nq.BMo-2003,BMo-2003,567.5,3350,A253,-38.22373835,-68.49889286,4,0,0,17,1,22
13003,TAU.Nq.APGe-412(h),APGe-412(h),457.36,5014,A246,-38.39921821,-69.19489292,1,1,2,29,1,23
13004,YPF.Nq.RDMN-10(h),RDMN-10(h),693.73,5046,A155,-38.53791222,-69.35502863,1,1,2,2,1,23
13005,SHE.Nq.CASO-2(h),CASO-2(h),478.5,999999,A207,-38.42488878,-68.48044945,8,1,2,22,1,23
13006,SHE.Nq.CASO-3(h),CASO-3(h),478.5,999999,A207,-38.42488804,-68.48027766,8,1,2,22,1,23
13007,SHE.Nq.CASO-4(h),CASO-4(h),478.5,999999,A207,-38.42488729,-68.48010591,8,1,2,22,1,23
13008,XOM.Nq.PdY.s-1004,PdY.s-1004,999999,999999,A141,-37.79967252,-69.36271871,7,4,0,8,1,0
13009,OSE.Nq.CB-1002,CB-1002,804.35,1189.06,A039,-38.95962856,-69.5551601,8,0,0,15,1,10
13010,PAE.Nq.BCe.ww-2,BCe.ww-2,999999,999999,A199,-38.16409144,-68.80661569,8,0,0,18,10,24
13011,PAE.Nq.ECh.x-101(h),ECh.x-101(h),387.08,999999,A112,-38.58396815,-68.44549771,8,1,2,18,1,23
13012,TPT.Nq.FP-1323(h),FP-1323(h),999999,999999,A092,-38.53212779,-69.10981258,8,0,2,30,0,23
13013,YPF.Nq.RDMN-9(h),RDMN-9(h),694,4994,A155,-38.53784428,-69.35503285,1,1,2,2,1,23
13014,XOM.Nq.PdY-1001(h),PdY-1001(h),511.5,2718.5,A141,-37.80281204,-69.33514388,1,1,2,8,1,23
13015,YPF.Nq.RiAlN-15(d),RiAlN-15(d),999999,999999,A109,-37.73867195,-68.90737192,6,0,1,2,1,4
13016,PBE.Nq.M.x-1111,M.x-1111,811.2,2776,A076,-38.57278056,-69.4749777,6,1,0,16,10,23
13017,PBE.Nq.M.x-1104,M.x-1104,649,2775.7,A076,-38.53205766,-69.44176055,6,1,0,16,1,23
13018,TPT.Nq.PS-1007,PS-1007,999999,999999,A206,-38.88121938,-68.55725488,8,2,0,30,1,10
13019,CHA.Nq.ET-1289,ET-1289,999999,999999,A085,-37.40851349,-69.27733906,6,0,0,4,0,15
13020,TPT.Nq.FP.s-1019,FP.s-1019,999999,999999,A092,-38.45503261,-68.98877058,7,0,0,30,1,4
13021,TPT.Nq.FP-1255(h),FP-1255(h),999999,999999,A092,-38.44558015,-69.04602604,6,1,2,30,10,23
13022,TPT.Nq.FP-1215(h),FP-1215(h),999999,999999,A092,-38.54167998,-69.20209325,6,1,2,30,10,23
13023,YPF.Nq.AB.LA-64,AB.LA-64,428,3164,A112,-38.65675557,-68.59951312,1,0,0,18,1,21
13024,VOG.Nq.MDM-2013(h),MDM-2013(h),353.77,5800,A253,-38.22500435,-68.67637097,4,1,2,17,1,23
13025,TAU.Nq.AP-1008(h),AP-1008(h),421.57,5193,A246,-38.38011451,-69.17436452,1,1,2,29,1,23
13026,TAU.Nq.AP-1009(h),AP-1009(h),421.57,5197,A246,-38.37998974,-69.17436601,1,1,2,29,1,23
13027,PBE.Nq.M-1046,M-1046,711.7,1714.56,A076,-38.5937911,-69.44785807,1,2,0,16,1,14
13028,TAU.Nq.AP-307,AP-307,825.07,1933,A246,-38.23390403,-69.29719623,1,0,0,29,1,14
13029,TAU.Nq.AP-316(h),AP-316(h),717.97,3173,A246,-38.23771455,-69.273288,8,2,2,29,1,14
13030,YPF.Nq.Cto2.a-463,Cto2.a-463,619,1105,A138,-38.91737744,-69.22179377,1,0,0,2,2,13
13031,YPF.Nq.Cto2.ia-602,Cto2.ia-602,999999,999999,A138,-38.92093543,-69.21899874,6,0,0,2,1,99
13032,YPF.Nq.Cto2.a-568(d),Cto2.a-568(d),629.79,999999,A138,-38.92175607,-69.23250711,6,0,1,2,1,10
13033,AST.Nq.AH-1002,AH-1002,634.2,1132,A068,-38.91871864,-69.23513527,4,0,0,2,1,16
13034,SOA.Nq.H-49,H-49,636.5,1691,A068,-38.90973244,-69.26118005,1,0,0,2,2,16
13035,SOA.Nq.H-103,H-103,630.7,907,A068,-38.905244,-69.25774663,4,0,0,2,2,13
13036,SOA.Nq.H-57,H-57,644,764,A068,-38.9021818,-69.26409035,4,0,0,2,0,16
13037,SOA.Nq.H-54,H-54,643.5,866,A068,-38.90333457,-69.26252215,4,0,0,2,0,16
13038,SOA.Nq.H-62,H-62,643.4,774,A068,-38.9030731,-69.26611288,4,0,0,2,0,16
13039,SOA.Nq.H-71,H-71,640.9,870,A068,-38.90503335,-69.26780034,4,0,0,2,0,16
13040,SOA.Nq.H-58,H-58,637.7,786,A068,-38.90096475,-69.25737875,4,0,0,2,0,16
13041,SOA.Nq.Sol-22,Sol-22,627.7,794,A068,-38.90432998,-69.23500555,4,0,0,2,0,13
13042,YPF.Nq.-203,203,604.97,755,A138,-38.90063081,-69.21394538,3,0,0,2,0,13
13043,YPF.Nq.-269,269,608.65,1085,A138,-38.90616778,-69.20911494,3,0,0,2,0,13
13044,YPF.Nq.-285,285,608.04,810,A138,-38.90659879,-69.20732158,3,0,0,2,0,13
13045,YPF.Nq.-280,280,608.65,797,A138,-38.90500071,-69.20640972,3,0,0,2,0,13
13046,YPF.Nq.Laj-207,Laj-207,522.08,2371,A117,-38.7495598,-68.94100383,1,2,0,2,1,10
13047,YPF.Nq.CuM-9,CuM-9,524,3745,A117,-38.74923261,-68.9314386,1,0,0,2,1,16
13048,YPF.Nq.Laj-34(d),Laj-34(d),514.2,2762,A117,-38.75248656,-68.94770236,1,2,1,2,1,10
13049,YPF.Nq.NG-2,NG-2,515.69,1995,A117,-38.75308297,-68.94951266,1,0,0,2,2,13
13050,YPF.Nq.CuM.a-16,CuM.a-16,516.4,3700,A117,-38.75368071,-68.94862069,1,2,0,2,1,16
13051,YPF.Nq.Laj-166(d),Laj-166(d),522.93,999999,A117,-38.75369153,-68.9440534,6,2,1,2,1,10
