ID_ZZ,FIELD_NAME
701,Piuhen_Leufu
702,Plaza_Huincul
703,Plottier_
705,Porche_Trapial
706,Portezuelo_Alto
707,Portezuelo_Grande
708,Portezuelo_Minas
709,Portezuelo_Norte
711,Portezuelo_Oeste
713,Portezuelo_Sur
714,Portezuelos
718,Precuyano_B
719,Puesto_Aguada_del_Sembrado
720,Puesto_Barros
721,Puesto_Billar
723,Puesto_Bituin
724,Puesto_Campos
725,Puesto_Castillo
726,Puesto_Chacaico
727,Puesto_Cides
728,Puesto_Cortadera
729,Puesto_Cortez_
731,Puesto_Dinamarca_
732,Puesto_Espinosa
737,Puesto_Ferrada_
738,Puesto_Hernandez
741,Puesto_Jara
742,Puesto_La_Alegria
743,Puesto_La_Miranda
744,Puesto_Las_Campanas
745,Puesto_Lopez
751,Puesto_Molina
752,Puesto_Novoa
753,Puesto_Opazo
754,Puesto_Ortega
755,Puesto_Parada
756,Puesto_Parada_
757,Puesto_Reyes
758,Puesto_Roa
759,Puesto_Silva_Oeste
761,Puesto_Silva_Oeste_a
762,Puesto_Sin_Nombre
763,Puesto_Soufal
764,Puesto_Touquet
766,Puesto_Uribe
767,Puesto_Vera
768,Puesto_Verdugo
769,Puesto_Yanten
770,Punon_Trapial
772,Punta_Castillo
773,Punta_Chanar
774,Punta_Este_de_La_Sierra_Negra
775,Punta_Negra
776,Punta_Senillosa
778,Quebrada_Butaco
779,Quebrada_del_Leon
780,Quili_Malal
781,Quinchao_Norte_x
782,Ramos_Mexia
783,Ranquil_Co
788,Ranquiles
789,Rayen_Trapial
790,Rincon_Chico
793,Rincon_de_Aranda
796,Rincon_de_los_Sauces
797,Rincon_de_Piedra
798,Rincon_del_Mangrullo
799,Rincon_del_Toro
800,Rincon_del_Valle
801,Rincon_del_Valle_a
802,Rincon_La_Ceniza
803,Rio_Agrio
804,Rio_Limay
808,Rio_Neuquen
811,Rio_Neuquen_a
812,Risco_Alto
813,Rocas_Rojas
814,Ruca_Carmelo
815,Rulun_Trapial
816,Sal_de_Piedra
817,Santo_Domingo
818,Sauzal_Bonito
819,Sayhueque
821,Scheffel
822,Senal_Cerrito_Colorado
823,Senal_Cerrito_LAstra
824,Senal_Cerro_Bayo
825,Senal_Charco_Zampal
826,Senal_Corral_de_Piedra
827,Senal_la_Pedregosa
828,Senal_Lomita
829,Senal_Picada
830,Senda_Pedregosa
831,Senillosa
835,Shale_Oil
836,Sierra_Auca_Mahuida
837,Sierra_Barrosa
838,Sierra_Chata
841,Sierra_Negra
842,Sierra_Portezuelo
844,Sierras_Blancas
846,Silver
847,Sol
848,Standard_Oil_Argentina
849,Sur_Huantraico
850,Sur_Loma_Negra
851,Susanita
852,Tinudo
853,Tora_
854,Tortuga_Manca
855,Tres_Picos
856,Tres_Picos_a
857,Tricao_Malal
858,Triple_D
859,Tuareg
860,Umbral
862,Unknown
863,Vanguardia
864,Vanguardia_Norte
865,Vera_Contrera
866,Vertiente_del_Bayo
867,Veta_Escondida
869,Viluco
870,Vista_Alegre
871,Volcan_Auca_Mahuida
872,WW
874,Yapai
877,Zapala_Norte
878,Zona_Dorsal
879,Zona_G
881,Zona_N
882,Zurita
