DEPTH_m,LATITUDE,LONGITUDE,FM_ID
757,-38.91280078,-69.29180004,16
752,-38.91296133,-69.28944236,16
1021,-38.91448853,-69.28923963,16
751,-38.91458791,-69.29132804,16
1013,-38.9165001,-69.29075819,16
1200,-38.91443234,-69.28475345,7
763,-38.91233481,-69.28711165,16
758,-38.91126379,-69.28863663,16
1200,-38.91045925,-69.28739078,13
748,-38.91061881,-69.28540185,16
846,-38.88597907,-69.09414792,7
779,-38.88660166,-69.09332457,7
752,-38.88752327,-69.09355314,7
701,-38.88807917,-69.09280073,7
711,-38.88785727,-69.09251624,7
678,-38.88786901,-69.09172049,7
610,-38.88873506,-69.0919916,7
558,-38.88934646,-69.09126766,7
498,-38.89001351,-69.09037325,7
383,-38.8961256,-69.02358986,7
999999,-38.89968113,-69.01592796,7
296,-38.89616627,-69.00900602,7
917,-38.91990632,-69.00720398,7
1707,-38.88143481,-69.12759396,7
1270,-38.88212691,-69.11244109,7
910,-38.88662419,-69.09626305,7
882,-38.88691729,-69.09734318,7
919,-38.88712319,-69.09852072,7
1105,-38.88719182,-69.10103555,7
895,-38.88770647,-69.09765076,7
882,-38.88750039,-69.0966822,7
841,-38.88725098,-69.09543494,7
793,-38.8879104,-69.09462775,7
884,-38.88836588,-69.09688539,7
884,-38.88863715,-69.09802124,7
931,-38.88886487,-69.09914311,7
918,-38.88973572,-69.09943691,7
934,-38.89060112,-69.09973767,7
906,-38.8903734,-69.09862274,7
892,-38.88959511,-69.09832211,7
816,-38.88903619,-69.09609912,7
848,-38.89014023,-69.0975078,7
864,-38.89101108,-69.09780855,7
876,-38.8912388,-69.09893046,7
826,-38.88877036,-69.09494237,7
618,-38.88858074,-69.09378574,7
744,-38.88941347,-69.09411425,7
776,-38.88967929,-69.09528493,7
735,-38.88919656,-69.09302723,7
739,-38.88963802,-69.0924496,7
638,-38.89013824,-69.09327924,7
626,-38.89025319,-69.09249916,7
735,-38.89064077,-69.09118999,7
660,-38.89028978,-69.09440102,7
733,-38.89053927,-69.09557867,7
701,-38.89108439,-69.09473646,7
686,-38.89094375,-69.09360075,7
621,-38.89182001,-69.09395719,7
594,-38.8918627,-69.09503009,7
747,-38.891421,-69.09588637,7
567,-38.89268543,-69.09425789,7
549,-38.89246855,-69.09314296,7
499,-38.89163041,-69.09277264,7
541,-38.89135357,-69.09172731,7
634,-38.8912947,-69.09041755,7
454,-38.89216602,-69.09013303,7
465,-38.89309529,-69.09234262,7
570,-38.89356174,-69.09453772,7
770,-38.91153619,-69.28326711,7
780,-38.91242778,-69.28383599,16
1086,-38.91286013,-69.2837271,16
777,-38.91112938,-69.28031462,7
756,-38.90954729,-69.2793867,16
754,-38.90991652,-69.28200715,16
755,-38.90741584,-69.2793169,16
747,-38.90712523,-69.27635411,16
770,-38.9081096,-69.27424419,16
748,-38.90669012,-69.27356283,16
748,-38.90574604,-69.27076966,16
